Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage,Fund_Year,Sector_Group
Mentorkart,2018,New Delhi,Consulting,mentorkart™ helps to fulfil dreams and take that big step towards success.,"Ashish Khare, Sk Mohanty","Amit Singal, Manish Aggarwal",150000.0,Seed,2021,Consulting & Professional Services
Leverage Edu,2017,New Delhi,EdTech,ai-enabled marketplace designed to help students with their higher education and career growth plans,Akshay Chaturvedi,"Trifecta Capital Advisors, Blume Ventures",2000000.0,Debt,2021,Education
Kale Logistics,2010,Thane,Logistics,kale logistics solutions is a global it solutions provider focused on providing cutting-edge technology solutions to the logistics industry.,"Amar More, Vipul Jain",Inflexor Ventures,5000000.0,Series A,2021,Logistics & Transportation
Customerglu,2016,Bangalore,CRM,customerglu is a low code interactive engagement platform to improve user stickiness.,"Prateek Gupta, Raman Shrivastava, Sumant Us","Kumar Aakash, Amit Singhal",320000.0,Unknown,2021,Marketing & Advertising
Cell Propulsion,2016,Bangalore,EV startup,cell propulsion is a fleet electrification company developing solutions for large scale electrification of commercial vehicle fleets.,"Nakul Kukar, Paras Kaushal",Growx Ventures,2000000.0,Unknown,2021,Other
Wellbeing Nutrition,2019,Mumbai,HealthCare,organic whole food nutrition to keep up with the pace at which we live,Avnish Chhabria,Klub,0.0,Unknown,2021,Health & Life Sciences
Pee Safe,2013,Gurgaon,HealthCare,redcliffe hygiene private limited is india's fastest growing hygiene company.,"Dheeraj Jain, Srijana Bagaria, Vikas Bagaria","Shaival Desai, Alkemi Venture Partners",3000000.0,Pre-Series B,2021,Health & Life Sciences
Chqbook,2017,New Delhi,FinTech,"chqbook is a fintech startup that allows customers to explore, compare, book and get personal finance products.","Mohit Goel, Rajat Kumar, Sachin Arora, Vipul Sharma","Aavishkaar Venture Capital, Ywc Venture Capital",1000000.0,Unknown,2021,Finance & FinTech
Simplicontract,2020,Bangalore,Software,"simplicontract is an enterprise saas offering, focused on end to end contract life-cycle management.","Guru Venkatesan, Jinaraj Pg, Makesh Kumar",Kalaari Capital,1800000.0,Seed,2021,Information Technology
Dropshop,2019,Bangalore,Logistics,building technology to make distribution efficient and cheaper for large and small fmcg companies,"Udit Dhawan, Rohit Fernandes, Ravi Teja",Inflection Point Ventures,1000000.0,Pre-Series A,2021,Logistics & Transportation
Jumbotail,2015,Bangalore,E-commerce,jumbotail is an operator of an online marketplace that simplifies food and grocery shopping.,"Ashish Jhina, Karthik Venkateswaran",Alteria Capital,4000000.0,Debt,2021,Retail & E-Commerce
